aTV_x aTV_y aTV_z / Xrot Yrot Zrot / X2 Y2 Z2
0.018000 -0.006750 -0.980500 / -3.292875 1.921872 3.364129 / -161.889404 91.015862 200.265244
0.018000 -0.006750 -0.980500 / -3.325200 1.944397 3.378004 / -165.230774 92.971519 203.650192
0.018000 -0.006750 -0.980500 / -3.357525 1.966922 3.391879 / -168.604462 94.949707 207.049011
0.018000 -0.006750 -0.980500 / -3.389850 1.989447 3.405754 / -172.010468 96.950417 210.461700
0.018000 -0.006750 -0.980500 / -3.422175 2.011972 3.419629 / -175.448807 98.973648 213.888260
0.018000 -0.006750 -0.980500 / -3.454500 2.034497 3.433504 / -178.919464 101.019409 217.328705
0.018000 -0.006750 -0.980500 / -3.486825 2.057023 3.447379 / -182.422455 103.087692 220.783020
0.018000 -0.006750 -0.980500 / -3.519150 2.079548 3.461254 / -185.957764 105.178505 224.251205
0.018000 -0.006750 -0.980500 / -3.551476 2.102073 3.475129 / -189.525406 107.291840 227.733276
0.018000 -0.006750 -0.980500 / -3.583801 2.124598 3.489004 / -193.125366 109.427696 231.229218
0.018000 -0.006750 -0.980500 / -3.616126 2.147123 3.502879 / -196.757660 111.586082 234.739029
0.018000 -0.006750 -0.980500 / -3.648451 2.169648 3.516754 / -200.422272 113.766991 238.262726
0.018000 -0.006750 -0.980500 / -3.680776 2.192173 3.530629 / -204.119217 115.970428 241.800293
0.018000 -0.006750 -0.980500 / -3.713101 2.214698 3.544504 / -207.848480 118.196388 245.351730
0.018000 -0.006750 -0.980500 / -3.745426 2.237223 3.558379 / -211.610062 120.444870 248.917053
0.018000 -0.006750 -0.980500 / -3.777751 2.259748 3.572254 / -215.403976 122.715881 252.496246
0.018000 -0.006750 -0.980500 / -3.810076 2.282273 3.586129 / -219.230209 125.009415 256.089325
0.018000 -0.006750 -0.980500 / -3.842401 2.304798 3.600004 / -223.088776 127.325478 259.696259
0.018000 -0.006750 -0.980500 / -3.874726 2.327323 3.613879 / -226.979660 129.664062 263.317078
0.018000 -0.006750 -0.980500 / -3.907051 2.349849 3.627754 / -230.902878 132.025177 266.951782
0.018000 -0.006750 -0.980500 / -3.939376 2.372374 3.641629 / -234.858414 134.408813 270.600342
0.018000 -0.006750 -0.980500 / -3.971701 2.394899 3.655504 / -238.846283 136.814972 274.262787
0.018000 -0.006750 -0.980500 / -4.004026 2.417424 3.669379 / -242.866470 139.243652 277.939117
0.018000 -0.006750 -0.980500 / -4.036351 2.439949 3.683254 / -246.918976 141.694870 281.629303
0.018000 -0.006750 -0.980500 / -4.068676 2.462474 3.697129 / -251.003815 144.168610 285.333374
0.018000 -0.006750 -0.980500 / -4.101000 2.484999 3.711004 / -255.120972 146.664871 289.051331
0.054500 -0.052750 -1.007000 / -4.124900 2.483599 3.699054 / -259.257812 149.147766 292.744415
0.054500 -0.052750 -1.007000 / -4.148800 2.482199 3.687104 / -263.418549 151.629272 296.425537
0.054500 -0.052750 -1.007000 / -4.172700 2.480799 3.675154 / -267.603210 154.109375 300.094727
0.054500 -0.052750 -1.007000 / -4.196600 2.479399 3.663204 / -271.811768 156.588074 303.751953
0.054500 -0.052750 -1.007000 / -4.220500 2.477999 3.651254 / -276.044220 159.065369 307.397217
0.054500 -0.052750 -1.007000 / -4.244401 2.476599 3.639304 / -280.300568 161.541275 311.030548
0.054500 -0.052750 -1.007000 / -4.268301 2.475199 3.627354 / -284.580811 164.015778 314.651917
0.054500 -0.052750 -1.007000 / -4.292201 2.473799 3.615404 / -288.884949 166.488876 318.261353
0.054500 -0.052750 -1.007000 / -4.316101 2.472399 3.603454 / -293.213013 168.960571 321.858826
